id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
ts213232,Awake: The Million Dollar Game,SHOW,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize.",2019,TV-PG,38,['reality'],['US'],1,tt10370956,6,872,1.253,4.7,netflix
tm813423,Marjoun and the Flying Headscarf,MOVIE,"A teenager in Arkansas searches for identity in the headscarf and a motorcycle in the aftermath of her father's imprisonment. Set in 2006, the film explores the results of Arab and Muslim Americans being increasingly detained for ""guilt by association"". The film links the civil rights struggle of Arab/Muslim Americans with that of African Americans through Marjoun's attendance of Central High School. It weaves her story into the lineage of the Little Rock Nine. This film is set also at Magnolia Grove Monastery in Mississippi. This Zen Buddhist monastery has been established in the tradition of the friendship of Dr. Martin Luther King, Jr. and Zen Master Thich Nhat Hanh, bringing together the themes of civil rights movements and interfaith practice. This is an expansion of the short film by the same title, that was an official selection of the Sundance Film Festival.",2019,,84,['drama'],['US'],,tt10399342,6.7,46,1.235,,netflix
tm984484,Guvva Gorinka,MOVIE,Sirisha grows up living in her beautiful dream aspires to major in music but has to promise her father that she would marry the man he chooses if she wants to moves to the city and learn violin.,2020,,121,['romance'],['IN'],,tt8080982,5.1,186,1.233,10,netflix
tm878492,Fate of Alakada,MOVIE,"Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash.",2020,,114,['comedy'],['NG'],,tt11829884,6.8,60,1.219,10,netflix
tm929600,Afonso Padilha: Classless,MOVIE,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.,2020,,63,['comedy'],['BR'],,tt12930476,6.8,255,1.211,7.6,netflix
tm817284,Bridezilla,MOVIE,"After failing to deliver for a demanding bride, a wedding planner makes a bold business move and throws the wedding of the year — for herself.",2019,,93,"['drama', 'comedy']",['ID'],,tt10589924,6.1,60,1.2,5.167,netflix
tm824566,Ibrahim: A Fate to Define,MOVIE,"In this provocative and personal documentary, director Lina Al Abed searches for traces of her disappeared father: a seemingly ordinary Palestinian family man who was actually a secret member of a militant splinter faction and vanished when she was just a child.",2019,,75,['documentation'],"['PS', 'DK', 'LB']",,tt10777716,7.5,37,1.193,2,netflix
tm836077,Holy Expectations,MOVIE,"With a short life expectancy, a young girl uses faith and her vivid imagination to navigate adversity and create a story that impacts all around her.",2019,,89,['comedy'],['CO'],,tt10945950,5.3,28,1.176,6.5,netflix
tm1030742,One Like It,MOVIE,This short film follows a day in the life of a young woman in Egypt and how her interactions with others expose long-standing stereotypes and biases.,2020,,14,[],['EG'],,,,,1.176,3.5,netflix
tm489327,All The Queens Men,MOVIE,Sommore special features a select group of seasoned comedians who bring more than a half of decade of combined comedic experience and know how.,2019,,62,"['comedy', 'music']",['US'],,tt9347744,6.4,43,1.1,,netflix
tm848261,Aaviri,MOVIE,"A thriller film directed by Ravi Babu, starring Ravi Babu and Neha Chauhan in the lead roles.",2019,,113,"['drama', 'thriller']",['IN'],,tt10081210,3.6,131,0.97,7,netflix
tm883070,David Batra: Elephant in The Room,MOVIE,Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.,2020,,77,['comedy'],['SE'],,tt11987330,6,216,0.931,5,netflix
tm852060,Grego Rossello: Disculpe las molestias,MOVIE,Gregoria Rosello is a comediant of stand up. In his show he told with the audience about parts of his life and very common things that happened in Argentina. The show is incredible but in my opinion only people that are Argentinean can understand all the show.,2019,,65,['comedy'],['AR'],,tt11066396,5.2,32,0.899,3,netflix
tm896976,True: Rainbow Rescue,MOVIE,,2020,,23,['animation'],['US'],,,,,0.817,5.7,netflix
tm835958,"Martin Matte: La vie, la mort... eh la la..!",MOVIE,"Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special.",2019,,61,['comedy'],['CA'],,tt10965252,6.6,114,0.808,7.5,netflix
ts255867,뽀로로 동화나라,SHOW,,2020,TV-Y,13,[],['KR'],1,,,,0.802,1,netflix
ts222687,No hay tiempo para la vergüenza,SHOW,Follows the life and misadeventures of the eccentric fashion designer Santiago Artemis.,2019,,43,['reality'],['AR'],1,tt11215130,5.8,92,0.727,6,netflix
tm853113,Thomas & Friends: Marvelous Machinery,MOVIE,"When the Earl and his inventor friend Ruth host a Technology Fair, all sorts of amazing inventions find their way to Sodor, including Kenji an electric engine said to be the fastest in the world! But as Thomas worries about the effects of technology, two sneaky thieves and their engine, Sonny try to make off with one of the Marvellous inventions. It will be up to the Steam Team to stop them!",2020,,60,"['family', 'fantasy', 'animation', 'action']",['CA'],,tt14594718,5.8,19,0.682,2,netflix
tm1040502,Waraqat Gameia,MOVIE,"Umm Abdullah is a woman of humble origin, who lives in a local neighborhood and fends for her family by running a hairdresser's.",2020,,93,[],['EG'],,tt12725458,,,0.635,10,netflix
