person_id,id,name,character,role,platform
13325,tm89831,Cliff Edwards,Jiminy Cricket (voice),ACTOR,disney
31237,tm89831,Clarence Nash,Donald Duck / Cat (voice),ACTOR,disney
6139,tm89831,Pinto Colvig,Goofy (voice) (uncredited),ACTOR,disney
23435,tm89831,James MacDonald,Lumpjaw (voice) (uncredited),ACTOR,disney
6137,tm89831,Billy Gilbert,Willie the Giant (voice),ACTOR,disney
1780738,tm89831,The King's Men,Singers,ACTOR,disney
2124765,tm89831,The Starlighters,The Starlighters,ACTOR,disney
25067,tm89831,Jack Kinney,,DIRECTOR,disney
23442,tm89831,Hamilton Luske,,DIRECTOR,disney
23440,tm89831,William Roberts,,DIRECTOR,disney
598654,tm89831,William Morgan,,DIRECTOR,disney
31237,tm4623,Clarence Nash,Donald Duck (voice),ACTOR,disney
5900,tm4623,Sterling Holloway,Professor Holloway (voice),ACTOR,disney
102933,tm4623,Joaquin Garay,Panchito (voice),ACTOR,disney
116060,tm4623,José Oliveira,José Carioca (voice),ACTOR,disney
102930,tm4623,Aurora Miranda,Brazilian Girl,ACTOR,disney
102931,tm4623,Carmen Molina,Mexico Girl,ACTOR,disney
102932,tm4623,Dora Luz,Mexico Girl,ACTOR,disney
67500,tm4623,Frank Graham,(voice),ACTOR,disney
116061,tm4623,Fred Shields,(voice),ACTOR,disney
1491705,tm4623,Nestor Amaral,(voice),ACTOR,disney
2791085,tm4623,Jose de la Cruz Pacheco,(voice),ACTOR,disney
2791086,tm4623,Jose Luis Garcia Rosales,(voice),ACTOR,disney
2791089,tm4623,Luis Miranda Neri,(voice),ACTOR,disney
2791110,tm4623,Emilia del Río,(voice),ACTOR,disney
1262101,tm4623,Sara Ascencio,(voice),ACTOR,disney
1262100,tm4623,Ofelia Ascencio,(voice),ACTOR,disney
6139,tm4623,Pinto Colvig,Aracuan Bird (voice) (uncredited),ACTOR,disney
23445,tm4623,Norman Ferguson,,DIRECTOR,disney
102935,tm4623,Harold Young,,DIRECTOR,disney
23440,tm4623,William Roberts,,DIRECTOR,disney
7712,tm4623,Clyde Geronimi,,DIRECTOR,disney
25067,tm4623,Jack Kinney,,DIRECTOR,disney
116061,tm77407,Fred Shields,Narrator,ACTOR,disney
116060,tm77407,José Oliveira,José Carioca (voice),ACTOR,disney
6139,tm77407,Pinto Colvig,Goofy (voice),ACTOR,disney
5910,tm77407,Walt Disney,Self,ACTOR,disney
31237,tm77407,Clarence Nash,Donald Duck (voice),ACTOR,disney
1046405,tm77407,Mary Blair,Self,ACTOR,disney
23445,tm77407,Norman Ferguson,Self,ACTOR,disney
67500,tm77407,Frank Graham,Self,ACTOR,disney
4816,tm77407,Frank Thomas,Self,ACTOR,disney
23440,tm77407,William Roberts,,DIRECTOR,disney
23442,tm77407,Hamilton Luske,,DIRECTOR,disney
25067,tm77407,Jack Kinney,,DIRECTOR,disney
23446,tm77407,Wilfred Jackson,,DIRECTOR,disney
23445,tm77407,Norman Ferguson,,DIRECTOR,disney
123795,tm5822,Roy Rogers,Roy Rogers,ACTOR,disney
516041,tm5822,Dennis Day,Johnny Appleseed Narrator (voice),ACTOR,disney
567394,tm5822,Freddy Martin,Pianist,ACTOR,disney
49038,tm5822,Frances Langford,Frances Langford,ACTOR,disney
567396,tm5822,Ethel Smith,Ethel Smith,ACTOR,disney
123798,tm5822,Trigger,Trigger,ACTOR,disney
40975,tm5822,Bobby Driscoll,Bobby Driscoll,ACTOR,disney
31233,tm5822,Luana Patten,Luana Patten,ACTOR,disney
212762,tm5822,Patty Andrews,Patty Andrews (voice),ACTOR,disney
212763,tm5822,Maxene Andrews,Maxene Andrews,ACTOR,disney
212764,tm5822,Laverne Andrews,Laverne Andrews,ACTOR,disney
1341478,tm5822,Fred Waring,Fred Waring and His pennsylvanians,ACTOR,disney
23442,tm5822,Hamilton Luske,,DIRECTOR,disney
7712,tm5822,Clyde Geronimi,,DIRECTOR,disney
25067,tm5822,Jack Kinney,,DIRECTOR,disney
23446,tm5822,Wilfred Jackson,,DIRECTOR,disney
13768,tm134279,Billy Bletcher,Big Bad Wolf (voice),ACTOR,disney
6139,tm134279,Pinto Colvig,Practical Pig (voice),ACTOR,disney
574167,tm134279,Dorothy Compton,Fiddler Pig (voice),ACTOR,disney
571036,tm134279,Mary Moder,Fifer Pig (voice),ACTOR,disney
134005,tm134279,Burt Gillett,,DIRECTOR,disney
93739,tm77826,Robert Benchley,Robert Benchley,ACTOR,disney
27197,tm77826,Frances Gifford,Doris,ACTOR,disney
153744,tm77826,Buddy Pepper,Humphrey,ACTOR,disney
93827,tm77826,Nana Bryant,Mrs. Benchley,ACTOR,disney
25063,tm77826,Claud Allister,"Sir Giles (segment ""The Reluctant Dragon"") (voice)",ACTOR,disney
74824,tm77826,Barnett Parker,"Dragon (segment ""The Reluctant Dragon"") (voice)",ACTOR,disney
113378,tm77826,Billy Lee,"Boy (segment ""The Reluctant Dragon"") (voice)",ACTOR,disney
67501,tm77826,Florence Gill,Clara Cluck (voice) / Florence Gill,ACTOR,disney
31237,tm77826,Clarence Nash,Donald Duck (voice) / Clarence Nash,ACTOR,disney
23445,tm77826,Norman Ferguson,Norman Ferguson,ACTOR,disney
62951,tm77826,Ward Kimball,Ward Kimball,ACTOR,disney
571013,tm77826,Jimmy Luske,Baby Weems Model,ACTOR,disney
15268,tm77826,Alan Ladd,Baby Weems Storyboard Artist,ACTOR,disney
571015,tm77826,Truman Woodworth,Truman Woodworth,ACTOR,disney
153017,tm77826,Hamilton MacFadden,Hamilton MacFadden,ACTOR,disney
153455,tm77826,Maurice Murphy,Baby Weems Storyboard Artist,ACTOR,disney
33776,tm77826,John Dehner,Baby Weems Storyboard Artist (uncredited),ACTOR,disney
5910,tm77826,Walt Disney,Walt Disney (uncredited),ACTOR,disney
13381,tm77826,Frank Faylen,Orchestra Leader (uncredited),ACTOR,disney
49131,tm77826,Gerald Mohr,"Studio Guard / Narrator (segment ""Baby Weems"") (voice) (uncredited)",ACTOR,disney
69969,tm77826,Alfred L. Werker,,DIRECTOR,disney
23442,tm77826,Hamilton Luske,,DIRECTOR,disney
574686,tm8579,Milt Kahl,Ferdinand (voice),ACTOR,disney
97072,tm8579,Don Wilson,Narrator (voice),ACTOR,disney
5910,tm8579,Walt Disney,Ferdinand's Mother (voice),ACTOR,disney
6154,tm8579,Dick Rickard,,DIRECTOR,disney
31237,tm330224,Clarence Nash,Ducks (voice) (uncredited),ACTOR,disney
23442,tm330224,Hamilton Luske,,DIRECTOR,disney
7712,tm330224,Clyde Geronimi,,DIRECTOR,disney
134293,tm330224,Jack Cutting,,DIRECTOR,disney
67501,tm97393,Florence Gill,Wise Little Hen (voice) (uncredited),ACTOR,disney
31237,tm97393,Clarence Nash,Donald Duck / Peter Pig (voice) (uncredited),ACTOR,disney
